Energy (MeV)	Position 1	Position 2	Position 3	Position 4	Position 5	unertainty 1	unertainty 2	unertainty 3	unertainty 4	unertainty 5
6.0327E-02	0.034973874	0.022158307	0.008968841	0.003604067	0.0012664	0.001087821	0.000690803	0.000280399	0.000116463	4.36633E-05
8.8348E-02	0.14181334	0.085295807	0.025857867	0.014673886	0.004187919	0.004398738	0.002646923	0.000803802	0.00045846	0.000133945
1.2213E-01	0.180724469	0.102424892	0.026465029	0.018036024	0.005259444	0.005786596	0.003281462	0.000850492	0.000582415	0.0001744
1.5936E-01	0.182099345	0.103039304	0.02677739	0.01778781	0.005601337	0.005831449	0.003301979	0.000861377	0.000576624	0.000187008
3.2020E-01	0.115460492	0.057290844	0.017247497	0.017010932	0.005117931	0.003915928	0.00212756	0.000760519	0.000766152	0.000375698
3.9236E-01	0.125444698	0.070068687	0.017341074	0.013391884	0.003978329	0.00388981	0.002173247	0.000538579	0.00041627	0.000124627
5.1404E-01	0.107579175	0.061625825	0.01545401	0.013276525	0.004107622	0.00333633	0.001911812	0.00048037	0.000412922	0.000128703
6.6221E-01	0.092134525	0.052914834	0.012575054	0.010124615	0.002989137	0.002856365	0.00164057	0.000390034	0.000314075	9.28774E-05
8.9828E-01	0.060440635	0.03859798	0.010502275	0.008486781	0.002590159	0.001873961	0.001196848	0.000325849	0.000263384	8.05826E-05
1.1731E+00	0.050254236	0.033171945	0.008939493	0.007367021	0.002241351	0.001558017	0.001028464	0.000277251	0.000228506	6.96091E-05
1.3332E+00	0.047210134	0.031291664	0.008406905	0.007009559	0.002133198	0.001463641	0.000970167	0.000260732	0.000217415	6.62468E-05
1.8360E+00	0.037228569	0.025288931	0.006735369	0.0056208	0.00171931	0.001154296	0.000784148	0.000208968	0.00017442	5.34699E-05
